,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-04-30 00:59:59.999,1714417200000,62870.00000000,62870.01000000,62546.37000000,62684.96000000,549.24049000,1714418999999,34417944.08936410,24211,249.27387000,15618953.54740940,0
2024-04-30 01:29:59.999,1714419000000,62684.95000000,62988.00000000,62665.94000000,62987.37000000,333.63891000,1714420799999,20957499.46432740,19820,164.00072000,10301347.27727990,0
2024-04-30 01:59:59.999,1714420800000,62987.37000000,63134.12000000,62894.85000000,63022.94000000,357.20011000,1714422599999,22518260.87412250,18217,150.12035000,9462797.66239540,0
2024-04-30 02:29:59.999,1714422600000,63022.94000000,63076.00000000,62939.04000000,62968.82000000,183.23181000,1714424399999,11544470.05005300,11310,76.37234000,4811966.05122580,0
2024-04-30 02:59:59.999,1714424400000,62968.83000000,63039.14000000,62820.00000000,62942.51000000,245.66884000,1714426199999,15464109.05045500,12540,101.84432000,6409243.43930180,0
2024-04-30 03:29:59.999,1714426200000,62942.52000000,63172.58000000,62888.42000000,63092.24000000,233.45705000,1714427999999,14716100.54306490,12921,127.38898000,8030382.09669120,0
2024-04-30 03:59:59.999,1714428000000,63092.23000000,63497.54000000,63041.04000000,63497.53000000,627.72608000,1714429799999,39725864.26944880,30206,357.84607000,22648228.26494130,0
2024-04-30 04:29:59.999,1714429800000,63497.54000000,63935.91000000,63497.53000000,63890.00000000,1108.81372000,1714431599999,70715070.74273590,42327,672.79500000,42900230.99888240,0
2024-04-30 04:59:59.999,1714431600000,63890.01000000,64228.35000000,63874.01000000,63960.47000000,1038.80106000,1714433399999,66529633.37384190,38170,516.76001000,33094814.38025730,0
2024-04-30 05:29:59.999,1714433400000,63960.47000000,64080.00000000,63810.00000000,63866.00000000,444.55133000,1714435199999,28419886.35949510,18592,194.64453000,12444113.70100030,0
2024-04-30 05:59:59.999,1714435200000,63866.00000000,63996.32000000,63688.04000000,63992.56000000,408.92749000,1714436999999,26099040.24215920,20540,226.06221000,14429941.06139640,0
2024-04-30 06:29:59.999,1714437000000,63992.57000000,64734.00000000,63889.88000000,64580.00000000,1649.00639000,1714438799999,106076618.76536750,50805,924.86663000,59507819.31827320,0
