,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-04-30 23:59:59.999,1714500000000,2985.25000000,2991.83000000,2972.35000000,2972.35000000,6621.70620000,1714501799999,19748172.60815300,18640,3174.86900000,9469142.99548600,0
2024-05-01 00:29:59.999,1714501800000,2972.35000000,2978.85000000,2955.88000000,2976.39000000,11277.98170000,1714503599999,33466027.73910300,31325,5826.38780000,17290979.82856800,0
2024-05-01 00:59:59.999,1714503600000,2976.39000000,2985.83000000,2925.05000000,2941.54000000,25153.71540000,1714505399999,74161144.54774900,47871,11354.27940000,33476769.38197200,0
2024-05-01 01:29:59.999,1714505400000,2941.55000000,2966.00000000,2921.00000000,2928.96000000,17957.56290000,1714507199999,52857651.79581700,36585,8972.89940000,26418968.46535000,0
2024-05-01 01:59:59.999,1714507200000,2928.96000000,2980.63000000,2928.00000000,2958.77000000,21205.05010000,1714508999999,62810306.38556700,39728,9917.77170000,29372136.72366100,0
2024-05-01 02:29:59.999,1714509000000,2958.76000000,2979.06000000,2955.63000000,2967.01000000,5801.20270000,1714510799999,17208538.01718100,18329,2935.32820000,8707478.97708700,0
2024-05-01 02:59:59.999,1714510800000,2967.00000000,2991.13000000,2966.28000000,2991.00000000,6877.51760000,1714512599999,20501091.14658000,19554,4109.19910000,12249760.87369400,0
2024-05-01 03:29:59.999,1714512600000,2990.99000000,2994.30000000,2977.64000000,2987.87000000,5006.12800000,1714514399999,14950160.65094900,14338,2115.28030000,6318214.61386300,0
2024-05-01 03:59:59.999,1714514400000,2987.87000000,3021.31000000,2985.93000000,3021.07000000,10588.88310000,1714516199999,31794194.56270000,27150,5604.82460000,16829031.39291400,0
2024-05-01 04:29:59.999,1714516200000,3021.08000000,3029.40000000,3005.30000000,3010.11000000,7527.18330000,1714517999999,22719817.01495500,23257,3488.41790000,10529074.19699800,0
2024-05-01 04:59:59.999,1714518000000,3010.10000000,3013.27000000,3001.00000000,3010.56000000,3776.95370000,1714519799999,11356290.90455300,13528,1671.08010000,5025633.87442200,0
2024-05-01 05:29:59.999,1714519800000,3010.55000000,3029.15000000,3010.15000000,3014.05000000,5066.87680000,1714521599999,15298375.45266800,15211,2396.83900000,7237300.51747700,0
2024-05-01 05:59:59.999,1714521600000,3014.04000000,3023.24000000,3002.00000000,3003.43000000,7144.06390000,1714523399999,21526850.80069100,20077,3050.83430000,9196858.07743400,0
2024-05-01 06:29:59.999,1714523400000,3003.43000000,3009.66000000,2988.00000000,2999.05000000,8006.61080000,1714525199999,24004652.35984000,23341,3566.12150000,10693001.80928600,0
2024-05-01 06:59:59.999,1714525200000,2999.05000000,3008.78000000,2978.27000000,3008.74000000,9285.45870000,1714526999999,27798955.90193300,26990,4219.41670000,12636682.42004200,0
2024-05-01 07:29:59.999,1714527000000,3008.74000000,3014.70000000,2999.72000000,3002.33000000,7157.41060000,1714528799999,21526678.02454600,17544,3130.59950000,9416155.47643100,0
2024-05-01 07:59:59.999,1714528800000,3002.33000000,3003.80000000,2960.03000000,2983.81000000,13060.74610000,1714530599999,38922005.65236900,30841,6352.63020000,18928945.26812800,0
2024-05-01 08:29:59.999,1714530600000,2983.80000000,2991.29000000,2974.00000000,2987.81000000,4962.71060000,1714532399999,14813226.80951700,15214,2444.34500000,7296894.47013700,0
2024-05-01 08:59:59.999,1714532400000,2987.81000000,2996.60000000,2985.90000000,2991.31000000,3345.88950000,1714534199999,10010527.05385600,11117,1509.48410000,4516271.10409100,0
2024-05-01 09:29:59.999,1714534200000,2991.32000000,3008.00000000,2991.00000000,3004.37000000,3159.44820000,1714535999999,9480670.52415100,11106,1906.93010000,5722071.04932700,0
2024-05-01 09:59:59.999,1714536000000,3004.37000000,3013.87000000,3002.40000000,3005.19000000,3554.17030000,1714537799999,10692819.01567900,10583,1964.68080000,5911119.86829700,0
2024-05-01 10:29:59.999,1714537800000,3005.19000000,3011.90000000,3003.91000000,3006.19000000,3453.69270000,1714539599999,10388417.34293000,8639,1681.27870000,5057538.89606800,0
2024-05-01 10:59:59.999,1714539600000,3006.19000000,3010.75000000,2987.47000000,2988.94000000,4873.81580000,1714541399999,14621094.95229400,12649,2475.39770000,7429657.00542900,0
2024-05-01 11:29:59.999,1714541400000,2988.94000000,3005.98000000,2986.21000000,2995.00000000,5292.45590000,1714543199999,15844081.97550300,14308,2811.47220000,8415379.78870800,0
2024-05-01 11:59:59.999,1714543200000,2995.00000000,2997.11000000,2970.68000000,2971.60000000,6267.18260000,1714544999999,18699938.28565000,17110,2517.69160000,7511561.03025900,0
2024-05-01 12:29:59.999,1714545000000,2971.59000000,2975.72000000,2950.00000000,2954.16000000,12847.78450000,1714546799999,38053623.17879700,25825,4464.47850000,13228093.88941200,0
2024-05-01 12:59:59.999,1714546800000,2954.16000000,2957.25000000,2866.00000000,2897.66000000,54132.63680000,1714548599999,157254719.32406100,96066,23469.35420000,68168470.31442700,0
2024-05-01 13:29:59.999,1714548600000,2897.67000000,2906.80000000,2859.00000000,2869.71000000,33504.45790000,1714550399999,96580626.37176700,61759,17068.10000000,49207420.92230200,0
2024-05-01 13:59:59.999,1714550400000,2869.70000000,2874.53000000,2817.00000000,2846.19000000,46434.52030000,1714552199999,132178684.94925800,82589,21840.36630000,62166973.71247700,0
2024-05-01 14:29:59.999,1714552200000,2846.19000000,2864.40000000,2841.24000000,2862.59000000,28387.60340000,1714553999999,80942631.28150500,53882,14445.40820000,41194801.15086900,0
2024-05-01 14:59:59.999,1714554000000,2862.59000000,2891.75000000,2857.36000000,2884.06000000,19904.52540000,1714555799999,57333277.58037500,35632,10079.25010000,29028472.08434900,0
2024-05-01 15:29:59.999,1714555800000,2884.07000000,2888.89000000,2869.99000000,2875.97000000,10517.90650000,1714557599999,30261763.01423700,22533,5198.64760000,14959403.65153200,0
2024-05-01 15:59:59.999,1714557600000,2875.98000000,2894.88000000,2860.00000000,2881.49000000,11630.36150000,1714559399999,33448057.35887300,27178,6094.34800000,17536779.02543900,0
2024-05-01 16:29:59.999,1714559400000,2881.49000000,2897.66000000,2879.07000000,2894.45000000,5124.61940000,1714561199999,14803282.47522900,18283,2953.32930000,8530796.01989000,0
2024-05-01 16:59:59.999,1714561200000,2894.44000000,2899.99000000,2884.06000000,2888.19000000,10687.00610000,1714562999999,30909571.65465700,23286,6188.64890000,17901442.31950600,0
